\ulcorner,left corner, Turing machine tape, formal language theory, lattice theory, logic
\urcorner,complement, negation, dual, unary reversal, characteristic function
\llcorner,corner point, lower left corner, coordinate system symbol, mathematics, geometry
\lrcorner,corner,knowledge transmission,order relation,vector space,linear operator
\inttop,integral top, integration limit, integral over the top, integral prime, integrable topmost
\intbottom,integral, limit, function
\frown,angle, concave function, sad face, internal angle, incenter
\smile,face emotion,positive response,happy face,smiley symbol,binary classification
\varhexagonlrbonds,hexagonal molecule,chemical structure,organic chemistry,chemistry,physics
\conictaper,taper angle,contact angle,normal contact angle,tapered end,Fresnel reflection angle
\topbot,join,distribute,orthogonal,confusion,squash
\obar,vector function,torque vector,exponential moving average,one-bit adaptive resource,exponential weighted moving average
\APLnotslash,negation,bitwise not,logical not,invert,complement
\APLnotbackslash,division,matrix division,set minus,boolean NOT,functional left argument
\APLboxupcaret,average,assignedlabelprojection,absolute value,area of triangle
\APLboxquestion,box plot,box whisker diagram,box and whisker plot,box and whisker diagram,box-and-whisker plot
\rangledownzigzagarrow,gradient,vector field,tensor field,power field,flow diagram
\hexagon,polygon,tile,geometry,mesh,graph
\lparenuend,equidistribution,differentiable function,deterministic model,finite-dimensional vector space,transversal section
\lparenextender,bra-ket notation,vector space,quantum mechanics,inner product,quantum computation
\lparenlend,scalar field,gradient vector field,surface normal vector,level curve vector field,flow lines
\rparenuend,intersection,complement,expectation,derivative,generalization
\rparenextender,uncertainty,interval estimation,interpolation,extrapolation,long-run growth trend
\rparenlend,end of proof, end of solution, end of theorem, end of lemma
\lbrackuend,partial differential equation,Poisson's equation,fluid dynamics,mathematical physics,quantum mechanics
\lbrackextender,identity matrix, interior point, integrality constraint, intrinsic information, isomorphism relation
\lbracklend,scalar field, energy level, Hamiltonian operator, equation of motion, wave function
\rbrackuend,right bracket,end,start line,bracket operator,inner product vector,close off formula
\rbrackextender,right bracket extender,subinterval,gaussian integral,quadratic form,commutator
\rbracklend,bracket,closed system,quantum mechanics,quantum system,physics
\lbraceuend,left brace,right brace,endpoint,ultimate end,model endpoint
\lbracemid,norm,conditional expectation,conditional variance,conditional probability,conditional entropy
\lbracelend,curl tensor,magnetic field map,relative humidity,shear stress,electric field map
\vbraceextender,expansion factor,projection map,graph homomorphism,has fixed point,injective map
\rbraceuend,vector,unit,length,tangent,curve
\rbracemid,absolute value,conditional expectation,distribution,inner product,conditional probability
\rbracelend,parenthetical expression, end boundary condition, final time instant, terminal state, conclusion
\intextender,integral, text, extend, superordinate, side
\harrowextender,vector extension,research extension,file extension,filename extension,contour extension
\lmoustache,delimiters,overbrace,underbrace,stretchy symbol,mathematical decorator
\rmoustache,delimiters,brackets,group,wavy bracket,floor function
\sumtop,limit,upper bound,mapping,inequality,vector
\sumbottom,limits,subscript,bottom index,real numbers,finite field
\overbracket,norm of a vector,sum of values in a set,average of a set,bracketed expression,weighted sum
\underbracket,notation,functional approximation,error analysis,quantum mechanics,signal processing,statistics
\bbrktbrk,positive integer,positive real number,matrix,vector,coordinate
\sqrtbottom,positive value,expectation operator,negative value,random variable,log-likelihood function
\lvboxline,fractional vertical coordinate,vertical extent,vertical boundary,vertical size,vertical dimension
\rvboxline,vector,line,error bar,cross-product,box dimension
\varcarriagereturn,line break, new paragraph, carriage return, new line, line feed
\overparen,arc symbol,geometry notation,trigonometry,function notation,complex analysis
\underparen,underline with parenthesis,underbrace with parenthesis,number representation,complex number,vector norm
\overbrace,summation, vectors, group theory, tensor calculus, statistics
\underbrace,matrix determinant,substitution method,recursive formula,integration by parts,expansion formula
\obrbrak,vector representation,column vector,row vector,dot product,linear transformation
\ubrbrak,Bra-ket notation, quantum mechanics, quantum computing, quantum states, inner product, Hilbert space
\trapezium,quadrilateral,geometry,area,shape,parallel
\benzenr,resonance structures,aromaticity,chemical properties,organic chemistry,benzene chemistry
\strns,magnetoresistance,spintronic devices,strain sensors,spintronics,spintronic applications
\fltns,normal stress,normal strain,local acoustical perturbation frequency,symbol used for rate of heat transfer in conduction,specific effect of friction heat per unit volume
\accurrent,alternating current, acceleration,current carrying conductor,accurate data,acceptance condition
\elinters,dot product,vector space,disjoint union,inner product,intersection
\blanksymbol,unknown variable,placeholder value,math function output,empty space,missing value
\mathvisiblespace,empty,almost,visual,normally,volumiser
\bdtriplevdash,vector,vector field,velocity,acceleration,gradient
\blockuphalf,vacuum physics,upward beam,signal transformer,optical isolator,plug valve
\blocklowhalf,torus,quantum mechanics,Dirac operator,vector field,quantum field theory
\blockfull,matrix partitioning,block matrix,compression algorithm,space-efficient text index,block-wise operations
\blocklefthalf,power block diagram,block diagram,left half-plane zero,right half-plane pole,block diagram algebra
\blockrighthalf,vector,subset,partition,function
\blockqtrshaded,quote block,blockquote,right-shaded,pull quote
\blockhalfshaded,area,rectangle,quadrilateral,figure,parallel
\blockthreeqtrshaded,fraction,pixel art,graph shading,mathematical puzzle,visual representation
\mdlgblksquare,end of proof,black square,end of example,formal parameter,proof of concept
\mdlgwhtsquare,end of proof, empty set, open square bracket, matrix notation, perpendicular
\squoval,subset,approximation,closed set,closure,uncertainty
\blackinwhitesquare,orthogonal complement,linear subspace dimensions,complex inner product spaces,euclidean space,real vector space
\squarehfill,right angle,parallelogram,quadrilateral,rectangle,square
\squarevfill,subdivide,regulator functions,kernels,lattice profiles,energy lies
\squarehvfill,right,left,center,geometry,rectangle
\squarenwsefill,symbol,shape,diagram,geometry,quadrilateral
\squareneswfill,squareneswfill, squarenesw,,alcanticeswnwfill,alcanticenswfill
\squarecrossfill,orthonormal array,2D dissection puzzle,pattern completion,grid shading puzzle,visual logic puzzle
\smblksquare,closed,structure,kroenecker,dual
\smwhtsquare,inner product,multiplier,moment generating function,vector space,expectation
\hrectangleblack,rectangle,hexagon,octagon,hexagonal-bipyramidal,interblend
\hrectangle,rectangle,square,parallelogram,quadrilateral,trapezoid
\vrectangleblack,area, shape, rectangle, topological space, closure
\vrectangle,area, perimeter, bounding box, interior angles, inscribed circle
\parallelogramblack,area,diagram,shape,rectangle
\parallelogram,quadrilateral,geometry,diagonal,parallel sides,vector
\bigblacktriangleup,vector space,orthogonal projection,tropical geometryascalene,acuteangled
\bigtriangleup,triangle,DEL operator,increment operator,markov chain,boolean algebra
\blacktriangle,larger than,congruent,congruent triangles,similar triangles,triangle inequalities
\vartriangle,triangle,vertex angle,median,congruent,acute angle
\blacktriangleright,dot product,vector indicating orientation,subset relation,approximation operator,logical implication
\triangleright,vector,$\Lambda$ CDM model,probability distribution function,electron drift velocity,popup menu
\smallblacktriangleright,inner product, ordered sequence, flow diagram, logical implication, vector representation
\smalltriangleright,triangle inequality, right angle, right triangle, right circular cone, right-hand rule
\blackpointerright,arrow pointing right, cursor icon, next step indicator, forward direction symbol, pointer marker
\whitepointerright,acupoint,apicoectomy,plication,optical radiation,decile
\bigblacktriangledown,gradient,decreasing function,vector field,tensor calculus,convex optimization
\bigtriangledown,gradient vector,divergence operator,Laplacian operator,vector symbol
\blacktriangledown,nabla,gradient vector field,divergence,vector field,partial derivative
\triangledown,gradient,vector field,directional derivative,nabla operator,divergence
\blacktriangleleft,subset inclusion,arithmetic shift,precedence relationship,variable targeting,POSIX character class
\triangleleft,normal subgroup,left invariant derivative,triangle left group action,left-handed circularly polarized light
\smallblacktriangleleft,subset,inclusion,proper subset,mapsto,partial order
\smalltriangleleft,subset,inclusion,presubset,lesser-than,approximation
\blackpointerleft,geometric proofs,mathematical inequalities,decreasing functions,neural network training,statistical significance
\whitepointerleft,Arrow pointing left, reverse implication, reverse implication arrow, leftwards arrow, reverse direction
\mdlgblkdiamond,relation,corresponds,cluster,data symbol,operation sign,algorithm
\mdlgwhtdiamond,relation symbol, operator symbol, subgroup, congruence relation, complex square root
\blackinwhitediamond,midpoint,middle,R^2,m-n relation,PDE
\fisheye,lens distortion,camera calibration,wide-angle photography,computer vision,panoramic imaging
\mdlgwhtlozenge,linear algebra, subset relation, true proposition, expectation operator, convex optimization
\mdlgwhtcircle,delimiters,latex symbol,highlighting button,flowchart component,error message
\dottedcircle,center of mass,intersection points,reaction force,loop integral,inclusion-exclusion formula
\circlevertfill,circle,fill,dot,arrow,mathematical logic
\bullseye,target,center,precision,accuracy,error
\mdlgblkcircle,bullet point,bullet,unordered list,items,marker
\circlelefthalfblack,angle,geometrical set,sector,raster graphics,annulus
\circlerighthalfblack,angle, percentage, circular integral, pie chart, circular sector
\circlebottomhalfblack,fraction,diagram,complement,summary,subsection
\circletophalfblack,area model,integral sign,triangle symbol,electrical engineering diagram,statistical graphics
\circleurquadblack,Euler number, exponential function, elevation angle, expected frequency, ensemble average
\blackcircleulquadwhite,Circumcircle,blackboard-bold-u,blackboard-bold-i,blackboard-bold-w,blackboard-bold-q
\blacklefthalfcircle,semidirect product,magnetostatic potential,perfect Bayesian equilibrium,positive puncture mass
\blackrighthalfcircle,angle,enclosing circle,small circle,annulus,complement
\inversebullet,inverse function,fisher information matrix,identity matrix,unit vector,co-matrix
\inversewhitecircle,diameter,empty set,temperature on a cryogenic scale,vector potential,closed contour
\invwhiteupperhalfcircle,sigma,degree,line segment,acute angle,polynomial
\invwhitelowerhalfcircle,complement,degree symbol,complementary angles,angle symbol,subset of,angle in mathematics
\ularc,arclength,curvature,curvature formula,curvature vector,curvature tensor
\urarc,arc length,arc measure,arc angle,arc radius,arc cosine
\lrarc,arc length,center of circle,calculus,radian measure,angle_properties
\llarc,arc length,radian measure,central angle,sector area,hollow cone
\topsemicircle,semi-circular,sub-semicircle,top-semicircle,upper-semicircle,quarter-top-semicircle
\botsemicircle,angle,arc length,sector area,segment area
\lrblacktriangle,line segment,bisector,similary transformation,angle bisector,tangent
\llblacktriangle,angle,triangle similarity,interior angles,sum of angles,triangle congruence
\ulblacktriangle,surface normal,Delta-matroid,Stokes',Feynman diagram,blacktriangle
\urblacktriangle,inner product,triangular inequality,Kronecker delta symbol,triangular wave,Granville number
\smwhtcircle,angle measurement,statistical population,sharpness preservation,number of edges,force equilibrium
\squareleftblack,geometric shape,incomplete character,rational expectations theory,black variant,industrial organization
\squarerightblack,angle,vector space,ray,trigonometric function,triangle
\squareulblack,symbol for a filled square followed by a line below it,map key,geometric visualization,cross-validation,graph traversal
\squarelrblack,inner product,area of a square,tensor product,outer product,vector space
\boxbar,symbolic logic,mathematics equation geometry,geometric isomerism,geometric dimensions and tolerances,geometric mean
\trianglecdot,dot product,inner product,matrix multiplication,vector multiplication,scalar product
\triangleleftblack,isomorphic,subgroup of,congruent,normal
\trianglerightblack,subfield,field,atomic coordinates,text,start-time
\lgwhtcircle,circle,algebraic equation,geometric calculation,technical drawing,mathematical proof
\squareulquad,matrix entries,determinant calculations,linear transformations,polynomial long division,quadratic equations
\squarellquad,integral,approximation,triangle,computation,algorithm
\squarelrquad,linear algebra operations, geometry proofs, signal processing applications, computer vision algorithms, machine learning datasets
\squareurquad,difference of squares,sum of squares,inverse squared distance,error in squared prediction,area of unit square
\circleulquad,area,geometric mean,the line integral along a curve,line integral along a path
\circlellquad,area,radius,diameter,circumference,mathematics
\circlelrquad,area,square,rectangle,circle,quadrilateral
\circleurquad,spherical coordinates,spherical triangle,line integral over a circle,area integral over a circular region,flux integrals
\ultriangle,laplacian,newtonian potential,de sitter space,not equal to,uncertainty coefficient
\urtriangle,right triangle,acute triangle,similar triangle,scalene triangle,triangle center
\lltriangle,inclusion relation, ordered triplet, algebraic triangulability, minimal triangulation, quantum chevallay theory
\mdwhtsquare,box,symbol,quantum mechanics,square matrix,measured variable
\mdblksquare,parallelepiped,turbulent kinetic energy,tensor product,matrix operation,parallel transmission
\mdsmwhtsquare,matrix determinant,white square,lift
\mdsmblksquare,filled square,empty square,dark square,light square,integer programming
\lrtriangle,right triangle,obtuse triangle,acute triangle,isosceles triangle,equilateral triangle
\bigstar,Astronomy, Rating Systems, Chemistry, Mathematics, Games
,review,obituary,rating,host,Mercedes-Benz
\bigwhitestar,operator symbol,quantum operation,stellar classification,graph vertex,convex optimization
\astrosun,solar physics,star classification,star formation,stellar atmosphere,interstellar medium
\danger,hazardous materials,warning sign,risk assessment,response protocol,cautionary label
\blacksmiley,good,positive outcome,success,happy ending,approval
\sun,solar constant,core temperature,corona,flare,ionosphere
\rightmoon,satellite observations,gravitational effects,lunar phases,lunar exploration,celestial mechanics
\leftmoon,lunar phase, moon emoji, astrology, night sky, astronomy
\female,woman,female,gender,girl,lady
\male,gender symbol,male chromosome,masculine pronoun,specific referring case,manliness
\spadesuit,card suit, deck of playing cards, bridge game, card game, spade符号
\heartsuit,cardiology,love,heart health,Valentine's Day,cardiogram
\diamondsuit,playing card symbol, card suit, probability, game theory, deck of cards
\clubsuit,playing cards,suit in a deck,card games,bridge,probability theory
\varspadesuit,card game,deck of cards,probability theory,shuffle,statistics
\varheartsuit,card games,probability theory,love and relationships,graphics and design,mathematics
\vardiamondsuit,card suit, playing cards, game theory, probability theory, deck of cards
\varclubsuit,card games, probability theory, combinatorics, statistics, cryptography
\quarternote,rhythm, music, tempo, beat, duration
\eighthnote,note,quarter note,measure,rest,whole note
\twonotes,music theory, harmony analysis, jazz chords, music transcription, pitch recognition
\flat,accidental,interval,note,minor chord,music theory
\natural,number, logarithm, transformation, density, language
\sharp,musical notation, set theory, order theory, hydrodynamics, physics
\acidfree,product,element,compound,reaction,chemistry
\dicei,probability,statistics,random variable,experiment,simulation
\diceii,probability distribution,function of a random variable,dice roll results,random variable,experimental outcomes
\diceiii,sum,roll,probability,game,random
\diceiv,Bayesian estimator,covariance,signal-to-noise ratio,vector magnitude,power spectral density
\dicev,volume element,coordinate system,jacobian determinant,statistical mechanics,integration formula
\dicevi,conditional expectation,function space, semi-infinite interval, tangent space, expected value
\circledrightdot,empty circle, filled circle, right arrow, dot, filled circle
\circledtwodots,derivative,spanning tree,curvature tensor,second derivative operator,dot product
\blackcircledrightdot,directed graph,weighted graph,non-weighted graph,arrow diagram
\blackcircledtwodots,center of mass,coordinate plane,physics equation,elliptical polarization,quantum mechanics
\Hermaphrodite,adjoint operator,matrix transposition,matrix conjugate transposition,vector transposition,tesseract
\mdwhtcircle,circle with white fill,highlight,glow effect,visual representation,rating symbol
\mdblkcircle,black hole,electron spin,magnetic moment,quantum state,angular momentum
\mdsmwhtcircle,point, diameter, angle, circle, circumference
\neuter,neutral particle, gender identity, biology concept, linguistic term, sexual characteristics
\checkmark,correct answer,verification complete,completed task,accepted solution,approved algorithm
\maltese,cross product,geometry,exterior algebra,vector space,representation theory
\circledstar,determinant,\det,I\circledstar,A\circledstar,U\circledstar
\varstar,exponential function,statistical significance level,cosmic object,algebraic structure,multivariate distribution
\dingasterisk,convex hull,sparse optimization,square matrix,feature selection,pointwise mutual information
\lbrbrak,set,rvec,txtdata,botright
\rbrbrak,norm,matrix,angular separation,spectrum,radius
\draftingarrow,vector,drawings,graphical representation,direction,vector calculus
\threedangle,solid geometry,3D modeling,computer graphics,physics,mathematics
\whiteinwhitetriangle,circumcenter,orthocenter,incenter,centroid,inconcetric quadrilateral
\perp,right angle,orthogonal,normal vector,perpendicular line,perpendicular bisector
\subsetcirc,subseteq,subseteqq,subsetneq,nsupseteqneq,nsupseteq
\supsetcirc,supseteqcirc,subsetcirc,nsupseteqcirc,supsetneqcirc,subsetneqcirc
\lbag,set,bracket,mathematics,tensor,statistics
\rbag,data structure,algorithm,key-value store,array,list
\veedot,vector field divergence,vector calculus operator,vector field,fluid flow analysis,mathematical operator
\bsolhsub,Heckman selection model,Hausman specification test,statistical hypothesis tests,discrimination in PRC,Haavelmo submodel
\suphsol,extremum,stationary point,hessian matrix,equation,optimization
\longdivision,polynomial division,algorithm,equation solving,remainder calculation,arithmetic operations
\diamondcdot,dot product,inner product,linear algebra,vector space,metric space
\wedgedot,vector calculus,geometric algebra,dot product,wedge product,differential forms
\upin,upper injection,function embedding,inclusion neighborhood,phi inverse natural
\pullback,preimage,bundle,map,fiber,diagram
\pushout,morphism,factorization system,commutative diagram,category theory,algebraic topology
\leftouterjoin,join operation,relational database,SQL query,information retrieval,data analysis
\rightouterjoin,join operations in databases, query optimization, relational algebra, database design, SQL statements, data integration
\fullouterjoin,set theory,databases,query optimization,relational algebra,SQL
\bigbot,intersection, direct sum, Cartesian product, lattice, tensor product
\bigtop,set union,set intersection,binary relation,function composition,cardinality
\DashVDash,emf,radioactive isotope study,extremely sensitive detection techniques,neutrino detection,neutrino flux
\dashVdash,satisfies,forcing relation,forcing condition,forcing extension,validity
\multimapinv,relation mapping,partial function,right-total relation,backward image,function inverse
\vlongdash,elliptic integral,ensemble average,constitutive relation,macro-micro,triatomic molecule
\longdashv,normal subgroup,group theory,substructure,isomorphism,inverse image
\cirbot,vector field,integrable system,control design,robotic manipulation,estimation error
\lozengeminus,minus sign, geometric algebra, geometric product, multiplication operator, difference formula
\concavediamond,volume,ratio,distance,shape,optimization
\concavediamondtickleft,stress tensor, strain tensor, Cauchy stress tensor, deviatoric stress tensor, reduced stress tensor
\concavediamondtickright,curl,tangent plane,field line,convergence test
\whitesquaretickleft,vector addition,linear transformation,orthogonal complement,matrix transpose,inverse function
\whitesquaretickright,check mark,correct answer,verification symbol,completion indicator,success signal
\lBrack,floor,rounding error,discrete distribution,least squares,rational root
\rBrack,bracket,vector,bracketed expression,matrix,vector of input data
\langle,inner product, quantum mechanics, statistics, fluid mechanics, Fourier analysis, quantum field theory
\rangle,angle,vector space,inner product,angle,triangular signal
\lAngle,angle,vector,inner product,included angle,acute angle
\rAngle,angle,triangle,right angle,acute angle,measured angle
\Lbrbrak,matrix notation,encoding error,bracket notation,vector operator,mathematical notation
\Rbrbrak,vector,bracket,del operator,sub-block,sub-matrix
\lgroup,left group,latex group,lattice group,level group,lunar gravity
\rgroup,tropical semiring,representation theory,batch normalization,group theory,quadratic form
\UUparrow,power iteration,update rule,convergence criterion,spectral radius
\DDownarrow,arrow symbol,decrease in temperature,chemical equilibrium,downward trend,momentum vector
\acwgapcirclearrow,counterclockwise gap,circular arrow
\cwgapcirclearrow,vector field, circular arrow diagram, circular motion equation, cyclical process, cyclic group
\rightarrowonoplus,limiting reactant,reaction quotient,closed interval,entire function,continuous function
\longleftarrow,left arrow,implied by,leftwards arrow,maps to,direction vector
\longrightarrow,vector field,implication in logic,directed set,map,function
\longleftrightarrow,bijection,biconditional,congruence relation,if and only if,implication
\Longleftarrow,implication,arrow equivalence,if and only if,leftarrow,converse
\Longrightarrow,implication,arrow symbol,indicates,entails,implies
\Longleftrightarrow,if and only if, if iff, bidirectional implications, reverse implication, double headed arrow
\longmapsfrom,function,definition,set,injective,map
\longmapsto,arrow,mapsto,homomorphism,function,injection
\Longmapsfrom,morphism,representation,string,category,arrow
\Longmapsto,function mapping,limit mapping,function transformation,endomorphism,tensor transformation
\longrightsquigarrow,limit behavior,functional relation,mapping diagram,reversible process,implication
\nvtwoheadrightarrow,injective,Near field theory. This overrightarrow is so-often partnered with the below rightarrow that the combination is listed here clockwise.,One half,Two half, 
\nVtwoheadrightarrow,arrow,map,coequalizer,tran,cofiber
\nvLeftarrow,relation symbol, logical equivalence, mathematical implication, bi-conditional statement, logical biconditional
\nvRightarrow,implies,does not imply,converges,diverges,contains
\nvLeftrightarrow,relation,logic,Rightarrow,mathematics,theorem
\twoheadmapsto,injective, surjective, bijective, linear transformation, function
\Mapsfrom,function,mathematical structure,arrow symbol,notation,relation
\Mapsto,mapping function,transformation rule,image,corresponds,goes to
\downarrowbarred,partial differential equation,divergence operator,visualization of vector field,subset symbol,mathematical physics
\uparrowbarred,vector,airgun,statistic,resistance,growth.
\Uuparrow,logic,vertices,elements,type,automata
\Ddownarrow,vector field,partial differential equation,norm,limit,quantum state
\leftbkarrow,relation,operator,group homomorphism,functor category
\rightbkarrow,relation image,function image,finite injective covers,non-covering holomorphic functions,stratifiable function
\leftdbkarrow,divisibility relation,partial order relation,function,mapping,injective map
\dbkarrow,map,induced map,commutative diagram,functor,modular form
\drbkarrow,distance ratios,black arrowheads,tenser diagrams,parallel arrows,non-titanium dioxide based pigments
\rightdotarrow,vector,pointing direction,velocity,angular momentum,kinematic equation
\baruparrow,dynamical system, human error, traffic congestion, quantum state evolution, climate model
\downarrowbar,vector,downward,component,coordinate,gravitational
\nvrightarrowtail,limiting value,directed set,injective morphism,definition-generation step,complement operator
\nVrightarrowtail,vector,representation,vertical,convergence,irreversible
\twoheadrightarrowtail,map between,diagram commuting,parallel arrows,relation binary,maps right
\nvtwoheadrightarrowtail,dual canonical basis, rational normal form,closed orbit, longest element,Weights
\nVtwoheadrightarrowtail,double-headed arrow with a tail,non-surjective mapping,exact sequence,reverse exact sequence,restriction map,restriction symbol
\lefttail,quantile,probability distribution,log-likelihood,probability measure,random variable
\righttail,distribution,probability,conditional,right censoring,failure time
\leftdbltail,double-tailed arrow, implies, logical equivalence, material equivalence
\rightdbltail,ray,compact,space vector,rigid body,measurable real-valued function
\diamondleftarrow,subgroup relation,isomorphic groups,group homomorphism,automorphism of a group,conjugacy class
\rightarrowdiamond,homomorphism,quantum error correction code,structural physical approximation,modeling framework,Newton's second law
\diamondleftarrowbar,homomorphism,endomorphism,automorphism,isomorphism,invertible
\barrightarrowdiamond,cross product,vector operator,error term,vector result,gradient vector
\nwsearrow,direction,ratio,intensity,gradient,vector
\neswarrow,arrow pointing to the northeast and arrow pointing to the southwest,arrow pointing to the south,arrow pointing to the west,arrow pointing to the north
\hknwarrow,right arrow,upward,rotation operator,vertical line,increasing function
\hknearrow,successive approximation,iterative process,algorithm convergence,convergence of algorithms,approximation accuracy
\hksearrow,direction,arrow,diagonal,flow,flow direction
\hkswarrow,left diagonal arrow, up arrow, northwest arrow
\tona,metric tonnes,rental tonnes,tasmanian ophthalmic nurses association,nahoon,retailers' organization of namibia
\toea,tropical geometry,toric embedding,transfinite extension,transfer entropy,toa
\tosa,number,the equation,the vectors,vector space,of the variable
\towa,determinant,fusion rule,modulo operation,vector space,open variational formula.
\rdiagovfdiag,deterministic,ovoid,speed,content-based,image-based
\fdiagovrdiag,matrix block diagonal form,block diagonal form,finite dimensional invariant subspace,matrix block diagonalization,block diagonalization of a matrix
\seovnearrow,triangle inequalities,Tristan Needham,vector,triangle,theorem
\neovsearrow,relation,algebra,equation,mathematics,geometry
\fdiagovnearrow,circle, topological space, lattice, diagram, mapping
\rdiagovsearrow,rotation,diagonal vector,searrow bend,intersection,vector field
\neovnwarrow,incompleteness,non-associative algebra, icosidodecahedron, incorect,incircle
\nwovnearrow,limit,estimate,convergence,analysis,gradient
\rightcurvedarrow,partial derivative,chemically reversible reaction,chemical equilibrium constant,thermodynamic potential,elementary reaction
\uprightcurvearrow,curvature radius,radian vector function,converse angle,directed edge
\downrightcurvedarrow,geodesic,gradient,displacement,covariant derivative,vector field
\leftdowncurvedarrow,vector notation,quantum mechanics,quantum computing,differential geometry,electrodynamics
\rightdowncurvedarrow,vector field,flux transfer,curvature flow,energy flow,heat flow
\cwrightarcarrow,diagram,graph,curve,path,circuit
\acwleftarcarrow,arc,sin,wedge,vertical line,circ,smashcup
\acwoverarcarrow,overcurvearrow,overleftrightarrow,undercurvedownarrow,underleftharpoon,underleftrightharpoondown
\acwunderarcarrow,arc,arrow,directed,counter-clockwise
\curvearrowrightminus,vector field,flux diagram,transformation matrix,gradient vector
\curvearrowleftplus,rotation,transformation,mathematics,vector space,geometric algebra
\cwundercurvearrow,natural language processing,convex-concave procedure,gradient-based optimization,medical image analysis,model predictive control
\ccwundercurvearrow,path integral,aircraft movement trajectory,fluid velocity vector,electric field vector,particle trajectory
\acwcirclearrow,direction of rotation,angular acceleration,torque,magnetic field,vorticity
\cwcirclearrow,rotation,angular velocity,magnetic field,period,radian
\rightarrowshortleftarrow,implication,converse implication,inverse implication,contrapositive_trueimpliesfalse
\leftarrowshortrightarrow,arrow notation,short exact sequence,short elliptic curve exact sequence,short exact sequence in a fibration,short exact sequence applied to homology
\shortrightarrowleftarrow,implication,converse,conditional,left bias
\rightarrowplus,vector addition,scalar addition,concatenation,concatenation with a constant
\leftarrowplus,cross-sectional area,flow of water,electrostatic potential,bilateral teleoperation,electric field
\rightarrowx,vector,approximation,direction,equation,matrix
\leftrightarrowcircle,congruent,isosceles,diameter,similar,perpendicular
\twoheaduparrowcircle,circulation,flux linking,flux linkage,net electric flux,net magnetic flux
\leftrightharpoonupdown,vector space,dual space,homomorphism,linear function,measurable function
\leftrightharpoondownup,arrow symbol, directional vector, mathematical relation, linear algebra concept
\updownharpoonrightleft,injective function,surjective function,bidirectional mapping,top-down,left-right
\updownharpoonleftright,injective function,surjective function,bijection,function restriction,partial function
\leftrightharpoonupup,vector field,operator,curvature,harmonic form,torsion
\updownharpoonrightright,vector field,linear transformation,exact sequence,differential equation,complex number
\leftrightharpoondowndown,triple bond in chemistry, vector notation in physics, reversible reaction in chemistry
\updownharpoonleftleft,double antiderivative,double antiderivatives,primitive function computation,primitive functions calculation,primitive function approximations
\barleftharpoonup,vector,modding out,linear operator,homomorphism,law of cosines
\rightharpoonupbar,vector field,linear operator,mathematical notation,vector potential,farahoutomaatkanaala
\barupharpoonright,restriction map,evaluation map,fiber over x,unitary map,measurable function
\downharpoonrightbar,vector field,induced map,diffeomorphism,commutative diagram,free resolution
\barleftharpoondown,vector,quantity,operator,function,relation
\rightharpoondownbar,dualizing space,imprecise probability,operational calculus,vector space,error bound
\barupharpoonleft,vector, sub vector, pullback operator, covector, holomorphicfunction
\downharpoonleftbar,vector field, left pointing arrow, contraction, dual space, tensor
\leftharpoonupbar,inner product,orthogonal complement,summation,group action,quadratic form
\barrightharpoonup,vector,arrow,representation,functional,right-tail
\upharpoonrightbar,restriction,map restriction,restricted map,partial restriction,partial function
\bardownharpoonright,barrop,barbelow,barbar,barhar,barforesya
\leftharpoondownbar,preorder traversal,conjugate transpose operator,matrices in physics,quantum mechanics,quantum circuit evolution
\barrightharpoondown,partial derivative,vector field,jacobian matrix,gradient vector,contravariant vector
\upharpoonleftbar,leftrightarrow,frequency number,frequency distribution,ratio scale,average rate
\bardownharpoonleft,vector,vector field,gradient vector,mathematical function,curvilinear integral
\leftharpoonsupdown,equilibrium constant,chemical reaction,ionic exchange,species transformation
\upharpoonsleftright,equilibrium reaction,chemical equilibrium,chemical reaction,chemical conversion,chemical transformation
\rightharpoonsupdown,equilibrium constant,reversible reaction,chemical equilibrium,reaction rate
\downharpoonsleftright,chemical equilibrium, reversible reaction, dynamic equilibrium, reaction mechanism, chemical kinetics
\leftrightharpoonsup,electron transfer,diels-alder reaction,levelling effect,electrochemistry,acid-base reactions
\leftrightharpoonsdown,reaction equation, reversible reaction, chemical equilibrium, chemical kinetics, reaction rate
\rightleftharpoonsup,equilibrium constant,equilibrium reaction,thermodynamic control,qubit evolution,chemical reaction
\rightleftharpoonsdown,dimerization reaction,chemical equilibrium,thermodynamic state,favorable equilibrium,precipitation
\leftharpoonupdash,vector, line integral, directional derivative, curl, gradient
\dashleftharpoondown,vector,homomorphism,exact sequence,commutative diagram,tensor product
\rightharpoonupdash,vector,arrow,harpoon,displacement,dotted
\dashrightharpoondown,right-injective,injective,arrow,mathematics,true_relation
\updownharpoonsleftright,equilibrium constant, reversible reaction, chemical equilibrium, chemical reaction, dynamic equilibrium
\downupharpoonsleftright,equilibrium constant, reversible reaction, chemical equilibrium, phase transition, reversible process
\rightimply,implies,implies,positive implies,true implies,linear space_implies
\equalrightarrow,iff,necessary and sufficient condition,if and only if,equivalent to,implies
\similarrightarrow,equivalence relation,tilde arrow,dirsim,tilde,Dirac operator
\leftarrowsimilar,\leftarrowsimilar, 
\rightarrowsimilar,equivalence,relation,similar,congruent,approximation
\rightarrowapprox,approximation by a certain property,limit of a sequence,error in a numerical method,direction of convergence,arrow icon
\ltlarr,relation mapping,leftarrow,reduces to in complexity theory,implication
